date,Beirut,El Metn,Baabda,Chouf,Keserwan,Akkar,Zahleh,Bushra,Jbeil,Zgharta,Tyre,Aley,Tripoli,Batroun,Denniyeh,Saida,Nabatieh,Baalbek,Koura,Bint Jbeil,Marjayoun,Western Bekaa,Jezzine,Rashaya,Hermel,Not Specified
2020-06-04,245,161,117,107,84,80,79,74,57,46,37,35,25,25,24,24,21,18,13,10,8,8,4,3,1,1
2020-06-05,245,161,118,109,84,80,79,74,57,47,37,36,26,25,24,24,21,18,13,10,8,8,4,3,1,1
2020-06-06,245,161,118,111,84,80,79,74,57,48,40,37,26,25,24,24,21,18,13,10,8,8,4,3,1,1
2020-06-07,245,161,118,114,85,80,82,74,57,48,40,37,27,25,26,25,21,18,13,10,8,8,4,3,1,1
2020-06-08,245,161,118,117,85,80,92,74,57,48,40,38,29,25,26,26,21,18,13,11,8,9,4,3,1,1
2020-06-09,247,161,118,121,85,80,92,74,57,48,40,47,29,25,26,26,21,18,13,11,8,10,4,3,1,1
2020-06-10,248,161,121,124,85,80,99,74,57,48,42,47,29,25,26,26,22,18,13,12,8,11,4,3,1,1
2020-06-12,248,161,121,124,85,80,105,74,57,48,42,48,30,25,26,27,22,19,13,12,8,14,4,3,2,1
2020-06-12,249,161,125,132,85,80,105,74,57,48,45,52,30,25,26,27,22,19,13,12,8,14,4,3,2,1
2020-06-13,252,161,125,132,85,80,107,74,57,48,46,59,30,25,26,33,23,19,13,12,8,14,4,3,2,1
2020-06-14,252,161,125,132,85,80,108,74,57,48,48,60,30,25,26,33,23,19,13,12,8,14,4,3,2,1
2020-06-15,252,161,125,140,85,80,108,74,57,48,49,64,30,25,26,37,24,19,13,12,8,14,4,3,2,1
2020-06-16,252,161,125,140,85,80,108,74,57,48,49,64,36,25,26,38,25,19,13,13,8,14,4,3,2,1
2020-06-17,253,162,125,142,85,80,109,74,57,55,52,64,36,25,26,39,25,19,13,13,8,14,4,3,2,1
2020-06-19,253,162,126,143,85,80,109,74,57,55,52,67,36,25,26,39,25,20,13,13,8,14,4,3,2,1
2020-06-19,254,164,129,143,86,80,109,74,57,55,54,69,38,25,26,41,25,20,13,13,8,14,4,3,2,1
2020-06-20,255,164,138,146,86,80,109,74,57,55,54,70,49,25,26,42,25,20,13,13,8,14,4,3,2,1
2020-06-21,264,164,150,147,86,81,109,74,57,55,61,72,55,25,26,50,27,20,13,15,8,14,4,3,3,1
2020-06-23,269,164,161,147,86,81,109,74,57,56,67,72,58,25,26,52,27,22,14,18,8,14,4,3,4,1
2020-06-24,273,169,166,147,89,81,109,74,57,56,67,72,58,25,26,54,29,23,14,18,8,14,4,3,4,1
2020-06-25,279,169,173,147,89,82,109,74,57,56,67,74,58,25,26,56,29,23,14,18,8,14,4,3,4,1
2020-06-27,287,170,185,147,89,82,113,74,57,56,67,74,64,25,26,56,29,23,14,19,8,14,4,3,5,1
2020-06-27,288,172,201,147,89,82,113,74,57,57,69,74,64,25,26,56,29,23,14,19,8,14,4,3,5,1
2020-06-28,288,173,205,147,89,82,114,74,57,69,69,75,65,25,26,57,29,23,14,19,8,14,4,3,5,1
2020-06-29,288,173,207,147,89,82,114,74,57,69,69,78,65,25,26,57,29,23,14,19,8,14,4,3,5,1
2020-06-30,289,173,221,148,89,83,118,74,57,69,73,79,69,25,26,58,29,23,14,19,8,14,4,3,5,3
