date,total_cases,new_cases,quarantined_cases,transported_by_red_cross
2020-04-07,548,7,10,
2020-04-08,575,27,13,
2020-04-09,582,7,24,
2020-04-10,609,27,15,
2020-04-11,619,10,38,
2020-04-12,630,11,29,
2020-04-13,632,2,15,
2020-04-14,641,9,22,
2020-04-15,658,17,28,
2020-04-16,663,5,11,
2020-04-17,668,5,7,
2020-04-18,672,4,14,
2020-04-19,673,1,14,
2020-04-20,677,4,9,
2020-04-21,677,0,12,
2020-04-22,682,5,16,
2020-04-23,688,6,7,
2020-04-24,696,8,21,
2020-04-25,704,8,6,
2020-04-26,707,3,9,
2020-04-27,710,3,20,
2020-04-28,717,7,10,
2020-04-29,721,4,16,
2020-04-30,725,4,12,
2020-05-01,729,4,11,
2020-05-02,733,4,11,
2020-05-03,737,4,14,
2020-05-04,740,3,12,
2020-05-05,741,1,6,
